feature,importance
mean_abs_log2fc,0.19288926191053374
relevance_score,0.1263046605219631
gf_disease_shift,0.10930932470477019
gf_risk_adjustment,0.046678933642358096
risk_score,0.04565353542996295
mean_tau,0.03495262761201706
symbol_ANKRD36,0.03274830965038458
symbol_TIMD4,0.031565126119197005
gf_geneformer_like_score,0.031152112834757946
symbol_SNHG12,0.02850548492710348
symbol_PNISR,0.025176742392013833
translational_score,0.02023354328142511
expr_std_tcga_pancan,0.019869094673483453
specificity_score,0.01871424081279479
sig_rate,0.017567638366553354
expr_q3_tcga_pancan,0.015570783997520687
expr_mean_tcga_pancan,0.015006487367212868
symbol_MALAT1,0.014578802247149632
risk_ubiquitous,0.014282538745324378
expr_max_tcga_pancan,0.013317804362766047
symbol_ZMAT1,0.011151423580759792
gf_context_support,0.010284483265135924
expr_iqr_tcga_pancan,0.009476401517667717
expr_min_tcga_pancan,0.009067889437128863
symbol_MIAT,0.009045780872746672
conservation_score,0.00884634481423887
symbol_ANKRD26,0.008155409194927113
gf_perturbation_impact,0.0063107172170828105
mean_clinical_r,0.005827638572511999
in_tcga_pancan_expr,0.00574570360241116
human_evidence_score,0.005327384996240212
expr_median_tcga_pancan,0.004887994469946994
symbol_NEAT1,0.004745634016707687
n_high_conf_perts,0.004643128321942594
expr_prevalence_tcga_pancan,0.004214809172102691
symbol_XIST,0.0036666094153893916
expr_q1_tcga_pancan,0.0035033588936690305
symbol_SAA2,0.0033463252768511664
symbol_ANKRD12,0.0031934551527744823
de_consistency,0.0031566191794252835
symbol_HNF1A-AS1,0.0029485263747161625
log_tpm_disease,0.002655790544713936
n_pathways,0.0019425266801540782
n_sig_clinical,0.0019316964779234336
mechanism_score,0.0018685819633717606
mean_pert_effect,0.0015831435079732416
n_perturbation_studies,0.0013362830687403031
symbol_ASCL1,0.00105091791654748
tractability_score,0.0009454194504719169
symbol_ANKRD36C,0.0009015557097532595
symbol_HULC,0.0008362094751631617
max_hub_correlation,0.0008322315497726413
gf_regulatory_centrality,0.0005701651956086985
symbol_HOTAIR,0.0004935459377372944
mean_lit_confidence,0.0004555808656047476
n_unique_papers,0.00044537732484884753
risk_high_isoforms,0.00022802239861917576
symbol_ANKRD18A,0.00019856883182651125
symbol_AKR1B10,0.00010169215750081126
symbol_PLG,0.0
symbol_PLIN2,0.0
symbol_PLEC,0.0
symbol_PLIN4,0.0
symbol_PLPP3,0.0
symbol_PLGLB2,0.0
symbol_PLSCR4,0.0
symbol_POLR3GL,0.0
symbol_PLTP,0.0
symbol_PLXNB2,0.0
symbol_PLXND1,0.0
symbol_PMVK,0.0
symbol_POLR2L,0.0
symbol_PON1,0.0
symbol_POR,0.0
symbol_PPA1,0.0
symbol_PPARA,0.0
symbol_PLBD2,0.0
symbol_PPFIBP1,0.0
symbol_PLD3,0.0
symbol_PELI2,0.0
symbol_PLAAT4,0.0
symbol_PFDN5,0.0
symbol_PC,0.0
symbol_PCBP2,0.0
symbol_PCDH12,0.0
symbol_PCK1,0.0
symbol_PCK2,0.0
symbol_PCSK6,0.0
symbol_PDCD7,0.0
symbol_PDE11A,0.0
symbol_PDE2A,0.0
symbol_PDGFA,0.0
symbol_PDIA3,0.0
symbol_PEBP1,0.0
symbol_PEG10,0.0
symbol_PET100,0.0
symbol_PFDN6,0.0
symbol_PITPNM3,0.0
symbol_PGA5,0.0
symbol_PGLYRP2,0.0
symbol_PGM1,0.0
symbol_PGRMC1,0.0
symbol_PHF14,0.0
symbol_PHF20L1,0.0
symbol_PHF8,0.0
symbol_PHIP,0.0
symbol_PHLDA3,0.0
symbol_PHLPP1,0.0
symbol_PIGR,0.0
symbol_PIK3R1,0.0
symbol_PILRB,0.0
symbol_PIPOX,0.0
symbol_PPIB,0.0
symbol_PRPF40A,0.0
symbol_PPIG,0.0
symbol_RELN,0.0
symbol_PURA,0.0
symbol_QPRT,0.0
symbol_RAB7A,0.0
symbol_RALGAPA2,0.0
symbol_RAPH1,0.0
symbol_RB1CC1,0.0
symbol_RBBP6,0.0
symbol_RBM25,0.0
symbol_RBM26,0.0
symbol_RBMS2,0.0
symbol_RBMX2,0.0
symbol_RBP4,0.0
symbol_RDH11,0.0
symbol_RERE,0.0
symbol_PTPRK,0.0
symbol_RGL1,0.0
symbol_RGS5,0.0
symbol_RIDA,0.0
symbol_RIMOC1,0.0
symbol_RNF152,0.0
symbol_ROCK1,0.0
symbol_RPL10,0.0
symbol_RPL11,0.0
symbol_RPL12,0.0
symbol_RPL15,0.0
symbol_RPL18,0.0
symbol_RPL21,0.0
symbol_RPL23A,0.0
symbol_PTPRS,0.0
symbol_PTPRF,0.0
symbol_PPP1R12A,0.0
symbol_PRLR,0.0
symbol_PPP1R3B,0.0
symbol_PPP1R3C,0.0
symbol_PPP6R2,0.0
symbol_PRAP1,0.0
symbol_PRDX1,0.0
symbol_PRDX3,0.0
symbol_PRDX4,0.0
symbol_PRDX5,0.0
symbol_PRDX6,0.0
symbol_PRG4,0.0
symbol_PRKAA2,0.0
symbol_PRKACA,0.0
symbol_PRKAR1A,0.0
symbol_PROS1,0.0
symbol_PTPRB,0.0
symbol_PROX1,0.0
symbol_PRPF38B,0.0
symbol_PARP4,0.0
symbol_PRPF8,0.0
symbol_PRRC2C,0.0
symbol_PRXL2A,0.0
symbol_PSAP,0.0
symbol_PSMA7,0.0
symbol_PSMD1,0.0
symbol_PSME2,0.0
symbol_PTGDS,0.0
symbol_PTMA,0.0
symbol_PTPA,0.0
symbol_PBLD,0.0
symbol_NEXN,0.0
symbol_PARP14,0.0
symbol_MRPL1,0.0
symbol_MAP9,0.0
symbol_MARCO,0.0
symbol_MASP1,0.0
symbol_MBD3,0.0
symbol_MCCC2,0.0
symbol_MCRIP2,0.0
symbol_MED12,0.0
symbol_MEMO1,0.0
symbol_MET,0.0
symbol_METAP2,0.0
symbol_MGAT2,0.0
symbol_MGLL,0.0
symbol_MIF,0.0
symbol_MINDY2,0.0
symbol_MKNK2,0.0
symbol_MLIP,0.0
symbol_MMAB,0.0
symbol_MMP9,0.0
symbol_MMRN1,0.0
symbol_MMUT,0.0
symbol_MNS1,0.0
symbol_MOGAT2,0.0
symbol_MOGAT3,0.0
symbol_MPC1,0.0
symbol_MPC2,0.0
symbol_MPEG1,0.0
symbol_MPHOSPH8,0.0
symbol_MAP1LC3A,0.0
symbol_MAOB,0.0
symbol_MAOA,0.0
symbol_LRP1,0.0
symbol_LGMN,0.0
symbol_LILRB5,0.0
symbol_LIPA,0.0
symbol_LIPC,0.0
symbol_LITAF,0.0
symbol_LIX1L,0.0
symbol_LMAN2,0.0
symbol_LOC102724560,0.0
symbol_LOXL4,0.0
symbol_LPA,0.0
symbol_LPL,0.0
symbol_LPP,0.0
symbol_LRP5,0.0
symbol_MANF,0.0
symbol_LRRC4,0.0
symbol_LRRFIP1,0.0
symbol_LTAP1,0.0
symbol_LTB,0.0
symbol_LTBP3,0.0
symbol_LUC7L3,0.0
symbol_LUM,0.0
symbol_LYVE1,0.0
symbol_LYZ,0.0
symbol_MAF,0.0
symbol_MAN1A2,0.0
symbol_MAN2B2,0.0
symbol_MRC1,0.0
symbol_MRPL51,0.0
symbol_PABPN1,0.0
symbol_MS4A6A,0.0
symbol_NEMF,0.0
symbol_RPL26,0.0
symbol_NFE2L1,0.0
symbol_NFIC,0.0
symbol_NFIX,0.0
symbol_NIBAN2,0.0
symbol_NID1,0.0
symbol_NKAP,0.0
symbol_NKTR,0.0
symbol_NONO,0.0
symbol_NOP58,0.0
symbol_NPHP3,0.0
symbol_NPR1,0.0
symbol_NRP2,0.0
symbol_NSDHL,0.0
symbol_NSRP1,0.0
symbol_NTHL1,0.0
symbol_NTN4,0.0
symbol_NUCB2,0.0
symbol_OCIAD2,0.0
symbol_OGDHL,0.0
symbol_OIT3,0.0
symbol_OLFM2,0.0
symbol_ONECUT2,0.0
symbol_P2RY13,0.0
symbol_P4HA1,0.0
symbol_P4HB,0.0
symbol_NDUFB9,0.0
symbol_NDUFB8,0.0
symbol_NDUFA11,0.0
symbol_MYH9,0.0
symbol_MS4A7,0.0
symbol_MSMO1,0.0
symbol_MT1X,0.0
symbol_MTCH2,0.0
symbol_MTDH,0.0
symbol_MTHFD1,0.0
symbol_MTMR4,0.0
symbol_MTTP,0.0
symbol_MVD,0.0
symbol_MVP,0.0
symbol_MYH1,0.0
symbol_MYH2,0.0
symbol_MYL12B,0.0
symbol_NDST3,0.0
symbol_MYL6,0.0
symbol_MYLK,0.0
symbol_MYO15B,0.0
symbol_MYO18A,0.0
symbol_MYO1B,0.0
symbol_MYO6,0.0
symbol_N4BP2L2,0.0
symbol_NACA,0.0
symbol_NCOA3,0.0
symbol_NCOR2,0.0
symbol_NDRG2,0.0
symbol_NDST1,0.0
symbol_RPL24,0.0
symbol_RPS2,0.0
symbol_RPL27A,0.0
symbol_TLN1,0.0
symbol_TM7SF2,0.0
symbol_TMED9,0.0
symbol_TMEM141,0.0
symbol_TMEM154,0.0
symbol_TMEM19,0.0
symbol_TMEM205,0.0
symbol_TMEM248,0.0
symbol_TMEM256,0.0
symbol_TMEM45B,0.0
symbol_TMEM59,0.0
symbol_TMEM92,0.0
symbol_TMSB10,0.0
symbol_TNFAIP8L1,0.0
symbol_TNFRSF12A,0.0
symbol_TNFSF14,0.0
symbol_TNS1,0.0
symbol_TNS2,0.0
symbol_TOMM7,0.0
symbol_TOP1,0.0
symbol_TOP2A,0.0
symbol_TP53I3,0.0
symbol_TPI1,0.0
symbol_TPP1,0.0
symbol_TRAP1,0.0
symbol_TREM2,0.0
symbol_TRIM56,0.0
symbol_TSC22D1,0.0
symbol_TM4SF4,0.0
symbol_TINAGL1,0.0
symbol_TSPAN13,0.0
symbol_TIMP2,0.0
symbol_SSR4,0.0
symbol_ST13,0.0
symbol_ST14,0.0
symbol_ST3GAL1,0.0
symbol_ST6GAL1,0.0
symbol_STAB1,0.0
symbol_STAB2,0.0
symbol_STMN2,0.0
symbol_STOM,0.0
symbol_STT3A,0.0
symbol_STX16,0.0
symbol_SULT2A1,0.0
symbol_SURF4,0.0
symbol_TAGLN2,0.0
symbol_TAT,0.0
symbol_TBC1D9B,0.0
symbol_TDG,0.0
symbol_TEDC1,0.0
symbol_TEK,0.0
symbol_TENM1,0.0
symbol_TFR2,0.0
symbol_TGFBR2,0.0
symbol_THOC2,0.0
symbol_THRAP3,0.0
symbol_THRSP,0.0
symbol_THY1,0.0
symbol_TIMM17A,0.0
symbol_TSHZ2,0.0
symbol_TSPAN18,0.0
symbol_SRP9,0.0
symbol_UQCRQ,0.0
symbol_USF2,0.0
symbol_USP16,0.0
symbol_USP8,0.0
symbol_USP9X,0.0
symbol_UTRN,0.0
symbol_VAMP8,0.0
symbol_VAV1,0.0
symbol_VCAM1,0.0
symbol_VNN1,0.0
symbol_VSIG4,0.0
symbol_VTN,0.0
symbol_WBP4,0.0
symbol_XAF1,0.0
symbol_XBP1,0.0
symbol_XIAP,0.0
symbol_XRCC5,0.0
symbol_YAF2,0.0
symbol_YIPF4,0.0
symbol_YWHAB,0.0
symbol_YWHAE,0.0
symbol_ZBED3,0.0
symbol_ZC3H13,0.0
symbol_ZC3H15,0.0
symbol_ZCRB1,0.0
symbol_ZMAT3,0.0
symbol_ZNF281,0.0
symbol_ZNF292,0.0
symbol_UROC1,0.0
symbol_UQCRFS1,0.0
symbol_TST,0.0
symbol_UQCRB,0.0
symbol_TTC9,0.0
symbol_TTF1,0.0
symbol_TTR,0.0
symbol_TUBB,0.0
symbol_TUBB4B,0.0
symbol_TUT7,0.0
symbol_TXN,0.0
symbol_TXNDC5,0.0
symbol_TYMP,0.0
symbol_U2SURP,0.0
symbol_UBA52,0.0
symbol_UBB,0.0
symbol_UBC,0.0
symbol_UBE3A,0.0
symbol_UBL5,0.0
symbol_UBR4,0.0
symbol_UBXN4,0.0
symbol_UGT1A4,0.0
symbol_UGT2A1,0.0
symbol_UGT2B10,0.0
symbol_UGT2B15,0.0
symbol_UGT2B4,0.0
symbol_UGT2B7,0.0
symbol_UPF3A,0.0
symbol_UPF3B,0.0
symbol_UPP2,0.0
symbol_UQCR11,0.0
symbol_SRSF11,0.0
symbol_SREK1IP1,0.0
symbol_RPL29,0.0
symbol_RPS27L,0.0
symbol_RPS4X,0.0
symbol_RPS6,0.0
symbol_RPS7,0.0
symbol_RPS8,0.0
symbol_RSBN1L,0.0
symbol_RSF1,0.0
symbol_RTN4,0.0
symbol_RWDD1,0.0
symbol_RXRA,0.0
symbol_S100A10,0.0
symbol_S100A14,0.0
symbol_S100A4,0.0
symbol_SAA1,0.0
symbol_SARDH,0.0
symbol_SCAPER,0.0
symbol_SCARB2,0.0
symbol_SCIMP,0.0
symbol_SCP2,0.0
symbol_SDC3,0.0
symbol_SDHA,0.0
symbol_SDHD,0.0
symbol_SDS,0.0
symbol_SEC14L1,0.0
symbol_SEC14L2,0.0
symbol_SEC61B,0.0
symbol_SEC62,0.0
symbol_SEM1,0.0
symbol_RPS3,0.0
symbol_RPS27A,0.0
symbol_SEMA6A,0.0
symbol_RPS27,0.0
symbol_RPL31,0.0
symbol_RPL32,0.0
symbol_RPL34,0.0
symbol_RPL35A,0.0
symbol_RPL36,0.0
symbol_RPL36AL,0.0
symbol_RPL37,0.0
symbol_RPL37A,0.0
symbol_RPL5,0.0
symbol_RPL6,0.0
symbol_RPL7,0.0
symbol_RPL7A,0.0
symbol_RPL8,0.0
symbol_RPL9,0.0
symbol_RPLP1,0.0
symbol_RPN2,0.0
symbol_RPS11,0.0
symbol_RPS12,0.0
symbol_RPS13,0.0
symbol_RPS14,0.0
symbol_RPS17,0.0
symbol_RPS18,0.0
symbol_RPS19,0.0
symbol_LGALS3BP,0.0
symbol_RPS20,0.0
symbol_RPS24,0.0
symbol_RPS26,0.0
symbol_SEMA4G,0.0
symbol_SEPHS2,0.0
symbol_SREK1,0.0
